username,displayname,userId,rawDescription,verified,created,followersCount,friendsCount,statusesCount,favouritesCount,listedCount,mediaCount,location
bysylv_DZ,𝒮 𝒚𝒍𝒗𝒂𝒏𝒏𝒂 𔘓'𝐬 𝐊𝐨𝐫𝐲.,1381576305532145666,,False,2021-04-12T11:54:04+00:00,328,369,5693,3873,6,587,"ᥫ᭡; I owe all my happiness to the love of my life, Koray. I never knew you could hold moonlight in your hands until the night I held you.11/05/2021.♡"
worsfty,h,1380426943087132672,,False,2021-04-09T07:47:10+00:00,0,3,7,1,0,1,
a_soft_fool,Boo!,1248589395436822534,19                      she/her,False,2020-04-10T12:31:37+00:00,35,756,2800,30674,0,72,
jjkrocksttar,ME VOY DEN UNF!!!,1350229575289204738,@jjkrocck @jjkrocck @jjkrocck @jjkrocck @jjkrocck @jjkrocck @jjkrocck @jjkrocck @jjkrocck,False,2021-01-15T23:53:38+00:00,1456,440,10124,3396,2,835,#방탄소년단
jenniehtbr,‏ً,4365333494,#&br.,False,2015-11-26T09:33:27+00:00,161,192,16525,78,0,90,jentube ➡️
donaIdgirI,daisy duck who?,1284672557354868737,akgae,False,2020-07-19T02:13:13+00:00,229,135,671,2925,0,9,JNK1
sthiefsoo,lisa durag,1342776579059945473,fuck lisoo,False,2020-12-26T10:17:48+00:00,33,13,1369,1148,0,53,
Blackpi21677414,Blackpink,1386141681381117952,,False,2021-04-25T02:15:11+00:00,0,1,1,7,0,0,
ineffablespinks,mar⁴,1207053497314750464,for blackpink.,False,2019-12-17T21:42:51+00:00,227,549,15724,39941,0,1647,petpinkss
kuksdak,duckingixi,1373246159993462791,pc + album preloved! check them out now!🌸,False,2021-03-20T12:13:09+00:00,1,5,60,14,0,6,
RS1Iloveyou,𝕄𝕚𝕞𝕚,2872827885,Vivo y respiro x GF y BP,False,2014-11-11T20:42:07+00:00,574,1045,5535,11667,1,295,
aalicerae_,Alice,1373415739219181575,🇹🇼🇵🇭💜🪁🎨🎎🎸🪘🐸,False,2021-03-20T23:27:15+00:00,3,179,26,709,0,5,
PaulaManoban,🇨🇴Paula🇨🇴 𝓛𝓢1🐥,1102754479924039681,"✨OT4✨
     Webtoons ♥
           Miraculous ladybug 🐈🐍🐞
                 𝔹𝕃ΛƆ𝕂ℙ𝕀И𝕂 𝕚𝕟 𝕪𝕠𝕦𝕣 𝕒𝕣𝕖𝕒

           ʟᴀʟɪꜱᴀ ᴍᴀɴᴏʙᴀʟ ᴇꜱ ᴍɪ ᴠɪᴅᴀ💓",False,2019-03-05T02:15:30+00:00,157,193,14758,84687,0,514,Devuelvo follow//I follow back
Night_Shxxade,Van,1381316228505997315,,False,2021-04-11T18:40:38+00:00,35,83,287,391,0,38,Bangtan Universe
crisTan_____,Butter #1 🥳 🧈 ⁷,1377394796080332804,"you come to my faves I will do the same with yours idc 🤪
ovEr KayPAp? over BTS",False,2021-03-31T22:58:17+00:00,9,0,5316,158,0,410,
chaen_nie48,Goblink,1280321032059064320,ㅤㅤㅤ me cambié de cuenta,False,2020-07-07T02:01:54+00:00,1305,1431,45001,22617,11,7941,
MorgaCamila,simp_De_BTS😘🤙🏼,1374408807124660225,💜,False,2021-03-23T17:13:04+00:00,3,41,72,128,0,2,
httpx_Ggukie,𝐆𝐠𝐮𝐤🐰⁹⁷ • JUNGKOOK BLUE HAIR🛐,1349516035075022859,𝗧𝗼𝗺𝗼𝕣𝕣𝗼𝘄 𝕩 𝗧𝗼𝗴𝗲𝕥𝕙𝗲𝕣 aNd 𝗕𝗮𝗻𝕘𝕥𝗮𝗻,False,2021-01-14T00:38:01+00:00,0,61,3,32,0,0,
cryfxrjnk,Eli⁴,1368595921026637825,Only Blackpinkᵒᵗ⁴,False,2021-03-07T16:14:40+00:00,1277,871,5324,2726,1,763,she/her
BoomLuam,koottlee,1333935071024320522,Only army.,False,2020-12-02T00:44:52+00:00,6,9,105,62,0,31,
__abyss__7,$3_R_0,1364075872320446470,Yo ensucio las búsquedas si te metas con mi fav,False,2021-02-23T04:55:16+00:00,6,13,80,4,0,6,hyunjin bully 
taegikoobabie,🧈♀حَنين,1379368699581362176,"‏‏
-  ‎‎#FEMINIST ‎#YOONGI ‎‎#TAEGIKOOK  ‎‎#HYUNJIN ‎‎#ROSÉ - ♡︎ taegikook supremacy ♡︎ !
 loml @taehyungaia",False,2021-04-06T09:41:47+00:00,10,35,1267,2790,0,28,SHE/HER ♡︎ yoongi bias ♡︎ 17 ! ♡︎ TAEGIKOOK ARE MARRIED ♡︎ taegi yoonkook yoonmin ♡︎! 
Lili23416476,Lili,1365485370650095619,,False,2021-02-27T02:14:39+00:00,0,0,32,2,0,0,
rottwsh,별 ˒ 🌿 ᨳ 𝘀oo 𝗒𝗈𝗼𝗻𝗴 ♡ ˖ ࣪,1283925652304011268,"૮₍ ´𖦹 ˕ ×` ₎ა  ᡕᠵ᠊ᡃ࡚ࠢ࠘ ⸝່ࠡࠣ᠊߯᠆ࠣ࠘ᡁࠣ࠘᠊᠊ࠢ࠘𐡏 . * + .♡    he/him










━☆◟𖥻🕊៹ sun in cancer 🍵ꦿ",False,2020-07-17T00:45:11+00:00,6,16,63,109,0,22,
Jwanderlustt,☆,1376006932654387202,"ʙʟᴀᴄᴋᴘɪɴᴋ ꜱᴛᴀɴ
ʜꜱ",False,2021-03-28T03:03:26+00:00,170,164,398,370,0,38,
BUS4NB0YSX,ً͏cielito 🐾,1132307775869132800,ㅤㅤㅤ(★ . . she-her // 📂 bts & jikook love zone❕,False,2019-05-25T15:29:45+00:00,452,485,17962,0,3,2316,only army | 20
roseblinkbp,𝑅𝑜𝑠𝑒́𝑏𝑙𝑖𝑛𝑘ᵇᵖ-R-🖤💗🇲🇽,1366877145755049984,𝙱𝙻𝙰𝙲𝙺𝙿𝙸𝙽𝙺 𝙸𝙽 𝚈𝙾𝚄𝚁 𝙰𝚁𝙴𝙰🖤💗,False,2021-03-02T22:24:54+00:00,40,92,794,899,0,11,
noturbuisenesss,✨,1043954470382702592,,False,2018-09-23T20:05:16+00:00,19,5,309,72,0,147,
