username,displayname,userId,rawDescription,verified,created,followersCount,friendsCount,statusesCount,favouritesCount,listedCount,mediaCount,location
vmi9nie,ًem i prettie,1363608371316809730,͏͏͏ ͏͏͏͏͏͏ ͏͏͏ ͏͏͏͏͏͏ ͏͏͏ ͏͏͏ ͏͏͏͏͏͏ ͏͏͏ ͏͏͏͏͏͏ ͏͏͏ ͏͏͏͏͏͏ ͏͏͏ ͏͏͏ ͏͏͏͏͏͏͏͏͏ ͏͏͏͏͏͏ ͏͏͏ ͏͏͏͏͏͏ ͏͏͏͏͏͏͏͏͏ ͏͏͏͏͏͏tete con rulitos ?! my safe place,False,2021-02-21T21:55:54+00:00,757,662,18431,9932,6,2382,"언젠가 이 함성 멎을 때 stay, hey you are my soulmate 영원히 계속 이곳에 stay, hey you are my soulmate ; maia te amo @da3chwitq "
Y00NGlDlOR,ۗۗۗۗۗۗۗۗۗۗۗۗۗۗۗۗۗۗ ۗۗۗۗۗۗۗۗۗۗۗۗۗۗۗۗۗۗۗۗۗۗۗۗۗpix,1391887695291555841,⠀⠀ ㅤ ㅤ﹟ (𝗖)𝗥𝗜𝗠𝗜𝗡𝗔𝗟 𝗨𝗡𝗗𝗘𝗥𝗖𝗢𝗩𝗘𝗥 ❍,False,2021-05-10T22:48:03+00:00,211,237,1793,2655,2,89,only
IPATTYPAY,𝗣𝗮𝘁𝘁𝘆-𝗣𝗮𝘆⁹⁵,948933103367540736,𝒚𝒐𝒖 𝒏𝒆𝒗𝒆𝒓 𝒘𝒂𝒍𝒌 𝒂𝒍𝒐𝒏𝒆 : 𝒐𝒏𝒍𝒚 𝒂𝒓𝒎𝒚♡° ⸙͎,False,2018-01-04T15:04:16+00:00,307,325,5262,7604,0,156,𝒊𝒏 𝒓𝒐𝒃'𝒔 𝒉𝒆𝒂𝒓𝒕°˟̫ː
RomiLvsBangtan,ʀᴏᴍɪ⁷ ♡·˚,1401252422073339904,BTS PAVED THE WAY || OT7 || ONLY ARMY || @BTS_twt #BTS #BTSARMY #방탄소년단,False,2021-06-05T18:59:56+00:00,21,33,247,37,0,7,BTSPOP📀
thvocaIs,ًsof,1317985111510573067,ㅤㅤㅤㅤㅤㅤㅤㅤㅤ남준 & 태형,False,2020-10-19T00:25:25+00:00,2578,2200,35593,9367,16,8393,only bts ㅤㅤㅤㅤㅤㅤㅤㅤㅤㅤㅤㅤ
ilytaegikoo,blondie⁷🧃,985277037677072386,,False,2018-04-14T22:02:06+00:00,1438,567,29641,55900,3,477,only bts//anti kpop
koogieart,⁹⁴,1375394219070750726,⠀⠀ ⠀⠀ 💭 dreaming abt nam,False,2021-03-26T10:29:07+00:00,500,502,1274,672,1,112,jm's real gf 
Allison16_2007,Alli stu(dying) 🍊,1257528694014464000,,False,2020-05-05T04:33:14+00:00,2583,936,16042,16127,10,2801,𝟕
_sweettgguk,Cherry lvs caki.,1298370825083650049,"No bangtan, no fucking opinion. @gukkamour ♡ ͏",False,2020-08-25T21:25:25+00:00,635,598,16123,22057,1,585,BTSPOP!💿
luvjmssy,ron✁,1400586081309847557,ᵕ̈ jungkook and I swaying to drum beats,False,2021-06-03T22:52:19+00:00,55,96,651,208,0,71,mimi rosy cheeks ❀ | BTSPOP!💿
sstrawberrykoo,ً boon lvs tatu🍓,1086646565601755136,dejé de ser bangtanista porque es medio raro stannear a mis novios,False,2019-01-19T15:28:24+00:00,2809,2122,55905,108049,9,3493,##★.she-he / 📁  bts akgae
yoongdaech,‏ִֶָ,1280004223497760769,#yoongi : vive llorando por mi,False,2020-07-06T05:02:52+00:00,168,154,14919,9075,0,1535,𝑩𝒂𝒏𝒈𝒕𝒂𝒏 24/7 🏳️‍🌈
kthrapper,ray jaegerista,1320134034131963911,"de tauro como connie @bizeluv, @iSTAYJN ♡  ͏  ͏ ͏ ͏ ͏ ͏  ͏ ͏ ͏ ͏  ͏ ͏ ͏ ͏ ͏",False,2020-10-24T22:44:24+00:00,645,493,27352,6163,1,1690,
vkmsouls,ً,1382824799186075649,waiting for the maknae line,False,2021-04-15T22:35:08+00:00,790,500,7303,1687,1,756,
yeIIowskyy,☆,1398813036022992898,ㅤㅤㅤㅤㅤ,False,2021-05-30T01:26:40+00:00,10,8,11,1,0,0,
GgukforGCF,cande⁷; bicycle by RM,1306304662883237896,-for Korea's pride ↬🍂방탄소년단🍂 | RM makes his first ever appearance on the Hot 100 Producers chart (#9). | OT7,False,2020-09-16T18:51:24+00:00,1072,788,31994,56704,3,571,"""produced and written by RM"""
kittyshobii,mari ☹︎,1391223016244273153,,False,2021-05-09T02:46:41+00:00,61,59,992,419,0,93,
E72961892,★,1391861228314796036,𝐃𝐨𝐛𝐥𝐞 𝐜𝐨𝐥𝐨𝐫: 𝐒𝐨𝐦𝐨𝐬 𝐮𝐧𝐚𝐬 𝐩𝐞𝐫𝐫𝐚𝐬 𝐟𝐥𝐚𝐜𝐚𝐬 ー✰,False,2021-05-10T21:02:55+00:00,17,19,16,132,0,0,
BLACKPINKFLOP2,BLACKPINK FLOP,1400956206500306946,Blackpink disband Blackpink flop Blackpink bully Blackpink disband Blackpink loser Blackpink racist,False,2021-06-04T23:22:57+00:00,6,12,37,23,0,5,
iUl0vely,i-e,1377261067806650374,,False,2021-03-31T14:06:50+00:00,13,36,216,95,1,44,
luna_tonta,Luna🤍,1364290276437688320,"(ella,mujer)",False,2021-02-23T19:05:34+00:00,136,270,4668,6200,0,447,
jmieyes,¹³,1292090590260330497,agust d palaye and yerin,False,2020-08-08T13:29:51+00:00,243,412,76679,77977,4,10269,she her
iY00NGEE,Danna 🐾,1376690534102802432,⠀⠀⠀⠀⠀⠀ ⠀ ⠀ 𖥻 @XS0RRYB4E ⋆ 𝗺𝘆 𝗶𝗸𝗶𝗴𝗮𝗶 ♥,False,2021-03-30T00:19:51+00:00,66,88,2757,969,0,211,D: 永遠の闇 🕷★! (gōth)
lyluvsjm,✰,1393099739525263364,,False,2021-05-14T07:04:32+00:00,10,8,35,1,0,0,
IFORNAMU_,naho 🧃,1328165407719632897,⠀⠀⠀✎ . . ⇢ ˗ˏˋ 𝒏𝒂𝒎𝒋𝒐𝒐𝒏 𝒍𝒐𝒗𝒆 𝒃𝒐𝒕 ˎˊ˗ ꒰ 🌵 ꒱ ⠀⠀⠀,False,2020-11-16T02:38:22+00:00,821,814,16403,16822,2,2700,She/her  || Anti Kpop
swyjvz,シ,1397760311021686784,,False,2021-05-27T03:43:35+00:00,20,18,248,17,0,11,queti
95tegis,neory,1307130840044965890,borra y borro,False,2020-09-19T01:35:25+00:00,0,2,10,0,0,0,
T4EFRESITA,𝐍𝐮𝐛𝐞 ☁ | 𝐄𝐬𝐭𝐮𝐝𝐢𝐚𝐧𝐝𝐨,1345490789812600832,💌 ៸៸ 𝐁𝐚𝐧𝐠𝐭𝐚𝐧 :: 𝐢 𝐥𝐨𝐯𝐞 𝐲𝐨𝐮.◞♡ | 𝐁𝐫: @T4ECOFFEE,False,2021-01-02T22:03:22+00:00,1846,1689,17148,21408,8,921,𝐁𝐓𝐒 𝐏𝐎𝐏! 💿
lilfaari,🐃 is sleeping,1383893553860861961,,False,2021-04-18T21:22:02+00:00,8,18,99,37,1,1,@ delete♡.
stfunotmyg,☆,1391787128951083012,in piscis,False,2021-05-10T16:08:22+00:00,19,21,57,224,1,5,
flopkpop,Sasy,1376392183855603719,borras y borro,False,2021-03-29T04:34:19+00:00,7,5,39,1,0,0,
444m4y,M4Y ʲᶤˢᵒᵒ,835303179805835264,김지수 —  CLARITY | Solo stan jisoo,False,2017-02-25T01:39:32+00:00,8,15,40,8,0,2,
rellenodejennie,Jennie flop,1319979747213037570,"Cuenta fan de las huesitos 
Amo a Jennie 🐵
#jenniecovid
#jenniebully",False,2020-10-24T12:31:26+00:00,29,37,55,63,0,21,
SPARKLYE0NN,𓏲 mimi,1398857192145575938,"𓍯si no borras te hago un hilo entero ♡                       
           ¡si borras, borro!𓂅",False,2021-05-30T04:22:05+00:00,7,4,47,0,0,7,
jugkiu,mai,1359598204573151245,imagine thinking i love you lol you're not jeon jungkook,False,2021-02-10T20:21:01+00:00,58,56,462,202,0,75,
papitas_chidas,papitas con catsup 🍟,1333632666332246016,"𝕆𝕟𝕝𝕪 𝔸𝕣𝕞𝕪 💜 
𝕊𝕠𝕦𝕝𝕞𝕒𝕥𝕖 𝕕𝕖: @bang_LGO 💜",False,2020-12-01T04:43:23+00:00,616,512,6074,18049,1,433,*Btspop*
monierpj,.,1367184848910188549,,False,2021-03-03T18:47:31+00:00,45,46,447,62,0,36,
pjnmise,T-T,1394448201235718144,vminhope mis bias o novios ed lo mismkㅤㅤ     ㅤㅤㅤ,False,2021-05-18T00:22:28+00:00,5,24,257,111,0,67,side d la novia de jm
2i3iwings,ً,1352388866938986509,,False,2021-01-21T22:53:39+00:00,11,11,11,14,0,1,
sk9jn2,❥mía,1372817246121263106,⠀⠀⠀⠀✰ ─ 𝗍𝗁𝗂𝗌 𝗂𝗌 𝖺 ◍SEOKJIN◍ 𝗅𝗈𝗏𝖾𝖻𝗈𝗍 🐾♡,False,2021-03-19T07:48:57+00:00,405,392,7901,3435,0,242,only army | s!her 
BP4FLOPS,it's...,1397779955958923269,"#BLACKPINK: somos las perras más putitas tu nos puedes manejar somos feas y salvajes, somos feas y salvajes.",False,2021-05-27T05:02:21+00:00,4,10,41,132,0,0,
jnprttygirl,ً,1355135508712718338,,False,2021-01-29T12:47:46+00:00,17,16,74,19,0,2,priv when i 💤
mtfert_bel,Arianaあ lvs Lele🐾,1309413586939383808,"ᴺᵒ ᵗᵃᵉʰʸᵘᶰᵍ ᴺᵒ ᶠᵘᶜᵏⁱⁿᵍ ᵒᵖⁱⁿⁱᵒⁿ                                                                       
     𝑴𝒚 𝑳𝒊𝒈𝒉𝒕➳@IR0CKJEON

♌",False,2020-09-25T08:45:14+00:00,568,567,10444,7328,0,553,BTS.POP
lilaczko,⁹³,1328503246630088706,i want to protect you one more time before tears run down your face,False,2020-11-17T01:01:37+00:00,9,8,483,220,1,75,
joonIyrcs,berries,1270591630928744449,only for the group who paved the way | no me llegan notis mandenme dm si hay algo para borrar,False,2020-06-10T05:40:38+00:00,26,50,1565,2401,0,58, prod jk
YY23742809,Y_Y,1383593135729639426,les advertimos,False,2021-04-18T01:28:14+00:00,0,0,21,1,0,0,
kiaraAMAbts,BTS POP 🐻 BUTTER დ♥,1358604369793540098,"ONLY   A R M Y  solo pendiente de @BTS_twt

   si eres BABY ARMY mira: https://t.co/wj3IhhfjUd




MAGIC SHOP 

ღΑ𝐑ᴍⒾ✱
BTS WORLD DOMINATION",False,2021-02-08T02:31:54+00:00,633,446,6823,1991,1,769,"♫♫ cypher 4 ♫♫ , ♫♫ MIC DROP♫♫"
KookYena,ᴶᵏ 𝐘𝐀𝐄𝐋 ⁹⁷,1317294075175907328,"~ Yoongi God of the Rap ~ ♡                                    
Account de la mejor Jungkookista",False,2020-10-17T02:40:19+00:00,766,833,28635,49118,0,1281,방탄소년단⁷
Tanista18,Tanista,1398852718773612546,,False,2021-05-30T04:04:42+00:00,1,10,3,25,0,0,
chaenggukx,graham 🇦🇷,4882257585,tomando mate con el yizhan,False,2016-02-06T17:18:42+00:00,893,896,22958,50110,5,337,TWICEPOP!💿
gisxmin,winter,1396942931181936651,No me sigas porfa,False,2021-05-24T21:35:34+00:00,21,61,28,118,0,0,aespa 
kookmkn1995,•Jenni 🎸ᵇᵘᵗᵗᵉʳ•,1079167585856282624,"Que bonito está el día, no? estaría más bonito SI HICIERAS STREAM ESTÚPIDA!! ✨",False,2018-12-30T00:09:37+00:00,287,635,26791,32771,2,435,💫OT7💫→✨BTSPOP✨
iD4TEKM,ange 🛒,1380997305344663561,,False,2021-04-10T21:33:19+00:00,250,286,10158,6007,1,1443,# __ ♥︎🤘🏻 𝗣𝗥𝗘𝗖𝗜𝗢𝗨𝗦 𝗡' 𝗕𝗘𝗦𝗧 !! ★﹏☆ 私はジョングクについて話している、私は彼が最高だと知っている！𝖢𝖠𝖱𝖱𝖣 𝖯𝖫𝖲.. ♥︎! 𝗝𝗨𝗡𝗚𝗞𝗢𝗢𝗞 . . . 🗯️ — 私の永遠の愛！
bngtandimple7,Yareli🌿⁹²⁹⁷,1020436891257180161,"ଘ 𝐈𝐋𝐘𝐒𝐌 방탄소년단 ✦ 𝗲.𝘁𝗵𝗲.𝗿.𝗻𝗮.𝗹 𝗯𝗼𝘆𝘀! ‹3 🏠
                      《Fan Account》",False,2018-07-20T22:34:48+00:00,676,432,28333,96823,14,2485,JJK1♡ 
agustprvd,gaby,1391796568936882177,⠀⠀ ⠀ agust d and bts @vantfiIms @iPRODKV,False,2021-05-10T16:45:44+00:00,365,340,2868,2281,3,414,130613; honsool
bbibbipinki,結,1370595239250030596,kpop anti 🍒,False,2021-03-13T04:39:16+00:00,43,33,446,325,0,37,nct disband 
deleteandidoit,jennie puta,1372645009879658503,"DELETE AND I WILL
/BORRAS Y BORRO/ TE SIGO, TE VIGILO/ NO BUSCO PROBLEMAS, SOLO NO ENSUCIES LAS BÚSQUEDAS DE BTS O YO LO HARÉ TUS FAVS",False,2021-03-18T20:24:22+00:00,4,7,180,2,0,0,
Zenitsu_lvs_you,ℤ𝕖𝕟𝕚𝕥𝕤𝕦 | baby you're so cool,1395142546255384578,"si tú borrar, yo borro | if you erase, I erase",False,2021-05-19T22:21:37+00:00,5,10,242,18,0,3,
jmbesitos,azu ibbi ◡̈,1363152635252137984,"⠀⠀⠀⠀ cuenta de la mejor jiminista | @taetuber ♡
⠀⠀⠀⠀⠀⠀⠀⠀⠀only and pjmkooker ᵕ̈",False,2021-02-20T15:44:57+00:00,397,445,12323,9574,5,731,
jeosease,andy,1386374527991664643,jungkook’s favorite girl,False,2021-04-25T17:40:32+00:00,1681,982,8816,1896,3,1501,only bts 
gte37899hcd4v,gte37899hcd4v,1392560164096593923,idgaf,False,2021-05-12T19:20:14+00:00,0,0,163,0,0,4,
erenshooter,ً,1332107267051843586,,False,2020-11-26T23:42:24+00:00,63,57,433,4093,1,255,(ʚ♡ɞ) .   .   .
iserenditiny,lima,1269102648008953856,a fact: bts paved the way  | @ykmistic @MIMISNL0VE  ilysm,False,2020-06-06T03:03:54+00:00,786,447,5441,18825,4,77,she!her
itaebIue,ً naomi; prod v,4715061782,💭 . . . taehyung is free therapy!,False,2016-01-05T19:47:50+00:00,4167,600,65595,79969,82,6245,only for bts 
turnpjm,ً,1323459499064201216,,False,2020-11-03T02:58:38+00:00,206,294,2436,2741,0,274,FOR 방탄 BR
ohjiminsh,ٖ,1363192968690077698,"watching jungkook exercising while he blows me kisses, bts ft britney when 😒",False,2021-02-20T18:25:13+00:00,59,149,3201,1563,0,572,drugs jimin
staybyjeon,aldi ★,1270072748015058951,viendo jugar al manya con jungkook y seokjin,False,2020-06-08T19:18:54+00:00,1366,856,46555,63592,7,2880,"jungkook: i am the love of her life, her little fairy, her baby and her safe place, she loves me more than her mother, i am her life"
kthpalete,X,1355732781800841218,,False,2021-01-31T04:21:21+00:00,37,242,3465,2671,0,190,
anpankm,Nla⁷,1319813728624410624,"BTS PAVED THE WAY.
 ONLY ARMY",False,2020-10-24T01:32:11+00:00,479,748,20020,25643,1,972,jikook
Sel_Kookiee,ᵇᵘᵗᵗᵉʳ S E L E ⁷ 🧈,1159318197834850305,"Only Army |
BTS PAVED THE WAY | OT7",False,2019-08-08T04:19:32+00:00,192,869,6670,7103,1,110,BTS POP 💿 
ihateyou3333,i hate you,1384302785542320130,BLACKPINK DISBAND,False,2021-04-20T00:28:10+00:00,0,2,12,6,0,0,in you head 
jisoogordaputa,kiti,1388270039984394241,"Rose gemidos 
borra y borró.",False,2021-04-30T23:12:46+00:00,54,55,92,110,0,3,anti kpop
vminstic_,¹³ | PLANET HER,1391823363618783239,bangtan and doja cat,False,2021-05-10T18:32:18+00:00,225,536,1102,1416,2,156,
doubIegguk,mafer lapadulista,1343621013452558337,⠀⠀⠀negativo covid positivo taekook lover,False,2020-12-28T18:13:16+00:00,445,333,8236,3783,0,645,#freebts
melarecomen,dick ✌️.,1384382012518187008,,False,2021-04-20T05:43:14+00:00,1,1,43,5,0,1,
tanniesT__T,guada,1294831545870692352,📂 bts saved the music industry,False,2020-08-16T03:01:27+00:00,1001,828,16826,9816,4,1990,read my carrd byf! 
fIuffytete,gab⁷ misses koo,817412599654518788,                        ＃★̲: https://t.co/PXvnat21Su,False,2017-01-06T16:48:45+00:00,1494,1103,79274,44767,8,3594,"(  ♥︎  )  !?  STAY 𝖡𝖸 𝗡𝗔𝗠𝗝𝗜𝗡𝗞𝗢𝗢 : it is not just music, it is free therapy, peace, heavenly sound sent by angels to bring joy to the world."
kutabarebp,Jennie problematica covid 19,1346980796352012289,BlackPink apologize for the shit you do 💀 AMO EL FREE PASS 🔥,False,2021-01-07T00:43:56+00:00,78,99,426,200,0,13,
bpflop1,bp flop,1397705653012119554,nunca voy a borrar! 😘,False,2021-05-27T00:06:24+00:00,0,0,13,0,0,1,
csfluv,mapache💤Jennie covid #JennieApologize,1320114685484695555,"Mujer, lesbiana y vegetariana👌",False,2020-10-24T21:27:29+00:00,35,52,736,161,0,53,
79Sbiqy2YtRDlfO,!,1389703459780263938,,False,2021-05-04T22:08:40+00:00,0,0,12,6,0,1,
blackpinkb_flop,floperas,1397604763555016709,"esto es fácil, ensucias, ensucio, borras y borro",False,2021-05-26T17:25:44+00:00,0,0,11,0,0,0,
es_esposo,olischikistrikis,1310476379650232320,:3,False,2020-09-28T07:08:20+00:00,13,10,16,28,0,0,
iFIREK00K,kar 🧈,1377152808831524865,,False,2021-03-31T06:56:50+00:00,705,576,16791,632,2,1217,. . . jiNNie ಌ 私はあなたを愛していますソクジンread my carrd ! あなたは人生に起こった最高のものです ꩜
Lilimano2,Lilimano,1200123128099168256,Gy,False,2019-11-28T18:43:56+00:00,0,40,1,1,0,1,
ggukkrls,merlín,1267514748276551680,solo me junto con only armys ot7 ojo soy la mejor Jungkookista me la pelas tu y toda tu descendencia,False,2020-06-01T17:54:13+00:00,523,694,3087,1760,0,119,TE AMO BANGTAN SINTI NO EXISTO
ttdmyt,ؘؘ,1392304722950901761,borra y borro,False,2021-05-12T02:24:58+00:00,3,1,9,0,0,0,
bonsaiandvhope,BONSÁI⁷,1390168119646330882,Only Army 🌱,False,2021-05-06T04:54:56+00:00,19,183,410,952,0,43,
iForLS1,💫,1384317182394478595,lisa go solo,False,2021-04-20T01:25:22+00:00,66,170,104,63,0,3,
gabiilovesjk,𝙜𝙖𝙗⁷ butter💛,1374172385767739394,"sʜᴇ/ʜᴇʀ
ᴏɴʟʏ ʙᴀɴɢᴛᴀɴ
devuelvo el follow",False,2021-03-23T01:33:35+00:00,11,342,281,757,0,2,
borrasy_borro__,.,1393315494346858496,,False,2021-05-14T21:21:26+00:00,3,0,169,29,1,7,
hobikool,So𝗳𝗶𝗮 🐿️🇨🇴| only⁷🧈,1300253864248127489,"🧻 . 𓂅 🅹 ⑊ 𝗵𖦹𝗽̶𝗲 ᔾ .あ! 𓄹

 𝘖𝘯𝘭𝘺 𝘢𝘳𝘮𝘺 𝘰𝘵7",False,2020-08-31T02:07:48+00:00,37,185,1381,3371,0,126,
GgukLeslie,b u t t e r | ⁷ Leslie,1225952882643566597,⌗ 𝐒𝐄𝐎𝐊𝐉𝐈𝐍  •  내 사랑 ★,False,2020-02-08T01:22:15+00:00,492,355,13892,23797,1,785,o n l y — b a n g t a n ⁷ 
bestigguk,liz,1211570256319139840,JUNGKOOK'S GIRLFRIEND IS REAL,False,2019-12-30T08:50:50+00:00,406,488,3804,7671,0,165,bts+ariana grande
suqaslab,wendy ⁹³ team agust d,1123353283588968449,🧤🪱🪑🖼🪐☄️.  .  .,False,2019-04-30T22:27:48+00:00,987,599,21766,40756,8,2811,ella :-D
33645544Kaomi,kaomi,1391790988541181952,only army,False,2021-05-10T16:23:35+00:00,14,83,82,59,0,0,
mintboyx,yam⁷🇵🇪,1296489303359590400,Only army OT7,False,2020-08-20T16:48:46+00:00,104,88,1345,846,0,93,  BTSPOP📀
lui_be7,Lui ᴮᴱ⁷🧈🇪🇨,1292163807830212608,𝙩𝙚𝙖𝙢𝙬𝙤𝙧𝙠 𝙢𝙖𝙠𝙚𝙨 𝙩𝙝𝙚 𝙙𝙧𝙚𝙖𝙢 𝙬𝙤𝙧𝙠.|| 𝙊𝙉𝙇𝙔 𝘼𝙍𝙈𝙔 ♡||-𝙛𝙖𝙣 𝙖𝙘𝙘𝙤𝙪𝙣𝙩♡,False,2020-08-08T18:21:00+00:00,500,789,23308,42943,2,327,Ecuador
flterskoo,ًbibi ⁹⁵,1388675447572021251,͏ ͏͏ ͏  . . . 💭  jihope moments is free therapy !! 🌟,False,2021-05-02T02:03:44+00:00,452,286,3206,1456,0,337,19 !! ella  —  prod. #JH 
abouthsk,nere ¹¹²,1350810544266207240,hoseok te amo mas q a mi vida sos mi luz entera hoseok no vivo sin vos,False,2021-01-17T14:21:54+00:00,152,347,5462,5306,0,1023,stream cns to 100m flojas
btsscoffe,ً lyn⁹³,1364273079757725705,"amor y bangtan, les dedico 'hasta el fin del mundo' de karina",False,2021-02-23T17:57:29+00:00,8412,7292,9486,19236,6,578,arg | she/he | only
UniquaBangt3n,Carla,1340796142922199043,"-Only Army-OT7 ,segunda cuenta: https://t.co/pVxuwDEZ9c",False,2020-12-20T23:08:45+00:00,85,701,548,1011,0,78,
LaMonchi4,˗ˏˋ 𝗠 𝗢 𝗡 𝗖 𝗛 𝗜 ⁷ | exams 📒ˎˊ˗,1214661782788333568,⌕🍧﹟. 𓍢 Ꮺ 𝟵𝟯 ۰ 𝟵𝟱 🔭♡: @lov3nha Jimin Is SooOoo Cute !!,False,2020-01-07T21:35:25+00:00,548,634,3267,5984,2,264,— ★! 𝗵𝗼𝗯𝗶 𝗆𝗒 𝖺𝗇𝗀𝖾𝗅
SAYSKJ1,HARLOW,1279873147844669444,"✧ ONLY ARMY, BTS POP📀! NAMKOOK BIASED @BTS_twt",False,2020-07-05T20:21:59+00:00,1028,834,4755,9121,1,119,
taelepathyg,moonly⁷,1060380596067860480,only army,False,2018-11-08T03:56:49+00:00,698,330,24268,15567,10,2962,bl stan
iLVLOU1S,kather,1386778064613429254,fan #1 de park jimin,False,2021-04-26T20:24:14+00:00,435,417,4741,3692,3,307,louis
OsccoOlenka,🎀🖤Olenkana🖤🎀,1391879138122862592,"Eh siganme en instagram
- @nana_n4n0
Tengan un buen dia 🖤
x= eScOrPiO
I hope this account is private: 'D
MANTECOSA 🙄🧈💅",False,2021-05-10T22:14:01+00:00,2,28,93,208,0,11,Perú 
tekoodn,diana no pupi,1320124233209597952,— taehyung dijo taekook mejor unidad pero no existe una sub unidad,False,2020-10-24T22:05:30+00:00,566,901,25539,39968,1,1396,★ ꒰ 私の心はあなたを彼がいつも望んでいた家にしました：vkook . . . ! ꒱ ★
889955h,k,1390507532884627460,"borra y borro, si me bloqueas es peor",False,2021-05-07T03:23:53+00:00,6,6,62,141,0,5,
jim1clip,art,1345408217187287046,"solamente comparto articulos, doy rt y ahora voto ( ⋅ ̯⋅ ) 💭",False,2021-01-02T16:35:04+00:00,27,24,37,221,0,0,
GGUKTIINY,pichu,1286780683566882819,"정국&지민

                       ♡ ꜰᴀɴ ᴀᴄᴄᴏᴜɴᴛ ♡",False,2020-07-24T21:50:09+00:00,536,599,10006,5020,5,821,{🤍HOSEOK¨̮} ＃「私はあなたがすることすべてが好
Beaudidi1,🧈💫𝓫𝓾𝓽𝓽𝓮𝓻🧈💫,1167829230043971584,,False,2019-08-31T15:59:31+00:00,4,42,786,1135,0,29,
namluvrs,me fui ‼️,1269091678813634560,"September 12, 1994.",False,2020-06-06T02:20:48+00:00,1114,990,44044,37511,16,5574,
jikoflwer,ً sof,1378814111849582596,⠀ ⠀⠀ ⠀ ⠀⠀   (zZzZ)💭 . . . 𝗸𝗼𝗼 ? JUNGKOOK !!!!⠀ ⠀⠀ ⠀ ⠀⠀ ⠀ ⠀⠀ ⠀ ⠀⠀⠀ ⠀⠀ ⠀ ⠀⠀ ⠀ ⠀⠀ ⠀ ⠀⠀,False,2021-04-04T20:58:31+00:00,435,445,4815,1608,0,1036,SHE/HER
kvfools_,bets 📚,1028403143133081600,"namtaekook get behind me, i'll protect you.",False,2018-08-11T22:09:50+00:00,2308,542,44486,101499,31,6563,"🖇🗯 jungkookie you are, no matter what they say, the best of the best, in my opinion. "
jkpijudo,tuki,1345791803572813825,rpmi tw amp perdpn ed dificil escribir cpn las tetad d jungkook en la bocs,False,2021-01-03T17:59:14+00:00,103,116,9503,3565,0,1232,req: ok
_Jxeongguk,𝐑𝐨𝐬𝐞𝐚𝐧𝐧𝐞-𝐆𝐠𝐮𝐤,1391635333083811841,,False,2021-05-10T06:05:20+00:00,46,245,3227,890,0,90,Dominican Republic
rkivemaze,.ᴖ◡ᴖ.¹⁷³,1354913917911359488,waiting for RM3   ឵឵឵឵឵឵   ឵឵឵឵឵឵   ឵឵឵឵឵឵   ឵឵឵឵឵឵   ឵឵឵឵឵឵   ឵឵឵឵឵឵,False,2021-01-28T22:07:15+00:00,470,420,5299,6249,4,344,ella | 15yo
t4eclock,lena ᴷᵗʰ,1301299032040632325,chupala,False,2020-09-02T23:20:54+00:00,362,548,23366,15424,3,2595,TANNIEPOP
flossyjin,⁹²,933507043624931328,normalize praising seokjin for existing!,False,2017-11-23T01:26:37+00:00,384,364,3641,8572,2,1006,ella ♡︎ 18
prodktae,ؘPame,4698488551,︎ ︎ ︎ ︎ ︎ ︎ ︎ ︎ ︎︎ ︎ ︎ ︎ ︎ ︎ ︎︎ ︎— Bangtan is my only priority.,False,2016-01-02T20:41:24+00:00,7380,1396,79022,50006,17,7774,
ilovejjimin,🧈,911595408807333890,,False,2017-09-23T14:17:36+00:00,74,122,9437,9528,1,994,only bangtan
BrocoliSabroso,BrocoliSabroso,1392585744854695938,"amo a @_CarlosRivera, pero hasta ahora nadie lo sabe 😿",False,2021-05-12T21:01:58+00:00,3,8,50,15,0,3,
disease_nxth,𝐍𝖆𝖙𝖍⁷ 🐍,1281376208832299008,,False,2020-07-09T23:54:39+00:00,825,781,10285,8354,3,1065,"𝐹𝑟𝑜𝑚 𝑗𝑗𝑘 𝑡𝑜 𝑘𝑡ℎ: 1958 Londres ""나는 항상 당신의 것입니다. 나는 항상 당신을 사랑할 것입니다. 나는 항상 당신의 moonflower"""
jamsivu,َ,1112891805861806080,thinking about taehyung 24/7 ͏ ͏͏ ͏ ͏ ͏ ͏ ͏ ͏͏ ͏ ͏,False,2019-04-02T01:37:37+00:00,1362,788,21628,25889,13,1567,miss u 2
FlLTER97,‘fran lvs kook,1390860610376720384,# for bts & jb : novia de jeon jungkook,False,2021-05-08T02:46:33+00:00,153,261,5935,2689,2,1396,vmin ♡
cryfortannies,🥢Paola⁷☄,759861726934208513,どこへ行っても、私はいつも黒い羊か残りの羊で、それに慣れていますが、それでも痛いです。| @iF0RMIM ♥️ | https://t.co/k1JHfxvMqU,False,2016-07-31T21:22:08+00:00,908,1211,12961,75010,4,650,²! ³! ˡᵉᵗ'ˢ ʷᵃⁱᵗ ᶠᵒʳ ᵐᵒʳᵉ ᵍᵒᵒᵈ ᵈᵃʸˢ 
idkahtall,00,1326185322972147712,,False,2020-11-10T15:30:21+00:00,0,0,14,2,0,0,
twndgrade,Alanis⁷ | STREAM BUTTER 🧈,1292266132179693568,♡ : 𝗯𝗮𝗻𝗴𝘁𝗮𝗻 𝗒𝗈𝗎 𝖺𝗋𝖾 𝗆𝗒 𝗍𝗋𝖾𝖺𝗌𝗎𝗋𝖾,False,2020-08-09T01:07:22+00:00,547,388,15928,25843,7,1267,only 
